politician,district,median_income,unearned_no_rent,unearned_with_rent
Amata Coleman Radewagen (R),AS00,unavailable,0,2010406
Don Young (R),AK01,71829,6108,6108
Dan Sullivan (R),AKS1,71829,109115,109316
Lisa Murkowski (R),AKS2,71829,34024,49025
Bradley Byrne (R),AL01,44302,2220,2220
Martha Roby (R),AL02,43205,406,406
Mike D Rogers (R),AL03,41037,87508,87508
Robert B Aderholt (R),AL04,39316,6207,26412
Mo Brooks (R),AL05,50264,14222,14222
Gary Palmer (R),AL06,58969,12967,12967
Terri A Sewell (D),AL07,32496,1204,1204
Jeff Sessions (R),ALS1,43511,43645,73647
Richard C Shelby (R),ALS2,43511,111406,126407
Rick Crawford (R),AR01,36778,0,0
French Hill (R),AR02,47265,403,403
Steve Womack (R),AR03,44675,4308,9309
Bruce Westerman (R),AR04,37188,0,0
Tom Cotton (R),ARS1,41264,603,603
John Boozman (R),ARS2,41264,4306,4306
Ann Kirkpatrick (D),AZ01,47538,7615,7615
Martha McSally (R),AZ02,47566,1003,1003
Raul M Grijalva (D),AZ03,41391,35544,36545
Paul Gosar (R),AZ04,65330,10002,15003
Matt Salmon (R),AZ05,44522,3,3
David Schweikert (R),AZ06,62185,100002,150003
Ruben Gallego (D),AZ07,33951,5003,17506
Trent Franks (R),AZ08,58514,100001,100001
Kyrsten Sinema (D),AZ09,50397,0,0
John McCain (R),AZS1,49928,1536379,1536580
Jeff Flake (R),AZS2,49928,5001,20002
Doug LaMalfa (R),CA01,45818,51204,51204
Jared Huffman (D),CA02,62070,1208,1208
John Garamendi (D),CA03,56235,145009,182513
Tom McClintock (R),CA04,65719,7504,7504
Mike Thompson (D),CA05,64446,101206,111208
Doris O Matsui (D),CA06,47287,11717,11717
Ami Bera (D),CA07,64890,19849,184859
Paul Cook (R),CA08,47464,2907,2907
Jerry McNerney (D),CA09,55744,3,3
Jeff Denham (R),CA10,53787,103503,168505
Mark Desaulnier (D),CA11,75217,30004,30004
Nancy Pelosi (D),CA12,78059,945434,1290440
Barbara Lee (D),CA13,60183,1211,1211
Jackie Speier (D),CA14,87029,88154,328160
Eric Swalwell (D),CA15,90238,0,0
Jim Costa (D),CA16,37726,101205,121207
Mike Honda (D),CA17,101640,31207,31207
Anna Eshoo (D),CA18,104510,205009,205009
Zoe Lofgren (D),CA19,80745,30639,30639
Sam Farr (D),CA20,60410,18929,119932
David Valadao (R),CA21,38223,2000002,2000002
Devin Nunes (R),CA22,52922,1002,1002
Kevin McCarthy (R),CA23,55242,12908,12908
Lois Capps (D),CA24,61588,404,5405
Steve Knight (R),CA25,72797,5006,20007
Buck Mckeon (R),CA25,72797,4,4
Julia Brownley (D),CA26,75798,83934,98935
Judy Chu (D),CA27,68368,243323,243323
Adam Schiff (D),CA28,55325,43940,43940
Tony Cardenas (D),CA29,47101,50204,50204
Brad Sherman (D),CA30,69259,16210,31211
Pete Aguilar (D),CA31,54433,65002,80003
Grace Napolitano (D),CA32,59251,1002,21004
Ted Lieu (D),CA33,95929,1437,6438
Xavier Becerra (D),CA34,35265,1856,46859
Norma Torres (D),CA35,54571,0,15001
Raul Ruiz (D),CA36,45319,1,1
Karen Bass (D),CA37,49986,603,603
Linda Sanchez (D),CA38,62432,4521,7022
Ed Royce (R),CA39,79291,0,0
Lucille Roybal-Allard (D),CA40,40100,12005,12005
Mark A Takano (D),CA41,53956,2,2
Ken Calvert (R),CA42,72925,16002,191009
Maxine Waters (D),CA43,48620,35007,35007
Janice Hahn (D),CA44,46091,35417,35417
Mimi Walters (R),CA45,92020,215003,215003
Loretta Sanchez (D),CA46,54675,3,20005
Alan Lowenthal (D),CA47,59125,7703,7703
Dana Rohrabacher (R),CA48,81295,0,0
Darrell Issa (R),CA49,73086,20382937,25832944
Duncan D Hunter (R),CA50,61824,0,0
Juan Vargas (D),CA51,41712,15003,30004
Scott Peters (D),CA52,83587,2725691,2740692
Susan A Davis (D),CA53,63063,33148,48149
Barbara Boxer (D),CAS1,61489,150203,150203
Dianne Feinstein (D),CAS2,61489,8178704,8600434
Diana DeGette (D),CO01,54116,2,2
Jared Polis (D),CO02,68317,20110001,21342535
Scott Tipton (R),CO03,48972,32063,32063
Ken Buck (R),CO04,63465,2204,17205
Douglas L Lamborn (R),CO05,56038,22737,22737
Mike Coffman (R),CO06,68119,50001,50001
Edwin G Perlmutter (D),CO07,60072,20208,20208
Michael F Bennet (D),COS1,59448,222123,242125
Cory Gardner (R),COS2,59448,0,0
John B Larson (D),CT01,65374,4,4
Joe Courtney (D),CT02,72105,805,805
Rosa L DeLauro (D),CT03,62837,1,1
Jim Himes (D),CT04,85610,104221,104221
Elizabeth Esty (D),CT05,67023,78525,78525
Christopher S Murphy (D),CTS1,69899,0,0
Richard Blumenthal (D),CTS2,69899,3973948,5929794
Eleanor Holmes Norton (D),DC00,69235,0,0
John Carney (D),DE01,60231,405,405
Tom Carper (D),DES1,60231,44088,59089
Chris Coons (D),DES2,60231,128714,128714
Jeff Miller (R),FL01,50313,5504,5504
Gwen Graham (D),FL02,44012,102504,107505
Ted Yoho (R),FL03,45081,24618,39619
Ander Crenshaw (R),FL04,55648,72513,75014
Corrine Brown (D),FL05,33812,402,402
Ron DeSantis (R),FL06,46240,2,2
John L Mica (R),FL07,54091,11208,38712
Bill Posey (R),FL08,47894,30005,45209
Alan Grayson (D),FL09,45647,1805430,1805430
Daniel Webster (R),FL10,50590,1004,16005
Richard Nugent (R),FL11,40941,5005,55006
Gus Bilirakis (R),FL12,49983,6439,6439
David Jolly (R),FL13,45541,6004,6004
Kathy Castor (D),FL14,41595,41830,41830
Dennis Ross (R),FL15,50696,100001,200002
Vernon Buchanan (R),FL16,49833,3203708,4238712
Tom Rooney (R),FL17,42957,394227,394227
Patrick E Murphy (D),FL18,51708,100009,100009
Curt Clawson (R),FL19,51041,1558304,1613510
Alcee L Hastings (D),FL20,38225,1,1
Ted Deutch (D),FL21,56599,5411,5411
Lois J Frankel (D),FL22,54089,1605,2606
Debbie Wasserman Schultz (D),FL23,53439,10,10
Frederica Wilson (D),FL24,38004,1207,17209
Mario Diaz-Balart (R),FL25,49100,1001,1001
Carlos Curbelo (R),FL26,52161,114627,169629
Ileana Ros-Lehtinen (R),FL27,42360,2,15003
Bill Nelson (D),FLS1,47212,4306,4306
Marco Rubio (R),FLS2,47212,0,5001
Buddy Carter (R),GA01,46394,1253754,1253754
Sanford D Bishop Jr (D),GA02,34321,7705,10206
Lynn A Westmoreland (R),GA03,52385,0,0
Hank Johnson (D),GA04,49343,0,0
John Lewis (D),GA05,43199,1005,1005
Tom Price (R),GA06,78832,305891,315893
Rob Woodall (R),GA07,64913,4707,4707
Austin Scott (R),GA08,40614,75004,85006
Doug Collins (R),GA09,45558,15203,30204
Jody Hice (R),GA10,48207,202,5203
Barry Loudermilk (R),GA11,62231,405,405
Richard W Allen (R),GA12,40676,100607,305610
David Scott (D),GA13,50927,5202,20203
Tom Graves (R),GA14,44864,7,12510
David Perdue (R),GAS1,49342,1591492,1591492
Johnny Isakson (R),GAS2,49342,112207,167213
Madeleine Z Bordallo (D),GU00,Unavailable,0,75407
Mark Takai (D),HI01,72419,101211,106212
Tulsi Gabbard (D),HI02,64001,1,1
Brian Schatz (D),HIS1,68201,16207,16207
Mazie K Hirono (D),HIS2,68201,93662,108663
Rod Blum (R),IA01,53638,145939,145939
David Loebsack (D),IA02,50459,14215,14215
David Young (R),IA03,58153,0,100001
Steven A King (R),IA04,49171,1412,1412
Chuck Grassley (R),IAS1,52716,669344,669344
Joni Ernst (R),IAS2,52716,12109,13110
Raul Labrador (R),ID01,48474,1,1
Mike Simpson (R),ID02,46229,38233,53234
James E Risch (R),IDS1,47334,26004,81014
Mike Crapo (R),IDS2,47334,5191,83529
Bobby L Rush (D),IL01,49141,0,0
Robin Kelly (D),IL02,45779,1,1
Daniel Lipinski (D),IL03,61658,0,0
Luis V Gutierrez (D),IL04,43666,93721,93721
Mike Quigley (D),IL05,69426,0,0
Peter Roskam (R),IL06,91046,13036,13036
Danny K Davis (D),IL07,48895,5411,5411
Tammy Duckworth (D),IL08,64540,5928,8429
Jan Schakowsky (D),IL09,64223,1412,1412
Bob Dold (R),IL10,71444,4521,57024
Bill Foster (D),IL11,68417,315263,315263
Mike Bost (R),IL12,44869,3,5004
Rodney Davis (R),IL13,47576,406,406
Randy Hultgren (R),IL14,83650,0,0
John M Shimkus (R),IL15,47628,1605,21607
Adam Kinzinger (R),IL16,54804,5003,5003
Cheri Bustos (D),IL17,43852,1,1
Aaron Schock (R),IL18,59304,2203,82206
Dick Durbin (D),ILS1,57166,751,751
Mark Kirk (R),ILS2,57166,0,15001
Pete Visclosky (D),IN01,51723,10419,10419
Jackie Walorski (R),IN02,46188,1,1
Marlin Stutzman (R),IN03,49191,27831,27831
Todd Rokita (R),IN04,51110,207,15210
Susan Brooks (R),IN05,61873,19006,134008
Luke Messer (R),IN06,46369,5,1006
Andre Carson (D),IN07,38969,3,3
Larry Bucshon (R),IN08,46677,10105,10105
Todd Young (R),IN09,50059,2,15003
Joe Donnelly (D),INS1,48737,5202,5202
Dan Coats (R),INS2,48737,50732,50732
Tim Huelskamp (R),KS01,46693,1807,6808
Lynn Jenkins (R),KS02,48499,5908,5908
Kevin Yoder (R),KS03,65676,21,21
Mike Pompeo (R),KS04,50121,2221,2221
Pat Roberts (R),KSS1,51872,25119,60122
Jerry Moran (R),KSS2,51872,20315,20315
Ed Whitfield (R),KY01,38978,20642,20642
Brett Guthrie (R),KY02,45200,5325,5325
John A Yarmuth (D),KY03,46831,1019452,1034453
Thomas Massie (R),KY04,55119,2501,17502
Hal Rogers (R),KY05,31252,175742,175742
Andy Barr (R),KY06,46020,21016,21016
Mitch McConnell (R),KYS1,43342,77226,82227
Rand Paul (R),KYS2,43342,68417,78419
Steve Scalise (R),LA01,54711,3,3
Cedric Richmond (D),LA02,36846,1,10003
Charles W Boustany Jr (R),LA03,45680,33198,33198
